,Date,rel_low,rel_high,rel_open,rel_close,rel_volume,time,low,high,open,close,volume
0,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,17:00:00,9333.57,9353.75,9334.98,9336.05,27.20424495
1,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,17:05:00,9331.13,9340.0,9336.06,9339.86,16.06816613
2,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,17:10:00,9339.86,9363.07,9339.87,9359.29,22.99216599
3,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,17:15:00,9355.0,9364.33,9359.29,9358.01,17.85103215
4,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,17:20:00,9356.0,9364.96,9358.56,9357.44,13.70589442
5,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,17:25:00,9343.14,9357.46,9356.2,9343.16,17.34373752
6,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,17:30:00,9343.15,9354.67,9343.16,9350.96,35.8144381
7,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,17:35:00,9348.57,9371.18,9350.95,9364.77,18.54382968
8,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,17:40:00,9364.77,9384.0,9364.78,9376.5,15.10171747
9,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,17:45:00,9358.17,9378.71,9376.5,9366.88,8.51284569
10,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,17:50:00,9365.57,9378.55,9366.88,9372.8,10.52280244
11,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,17:55:00,9367.06,9378.34,9372.8,9373.26,7.18345313
12,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,18:00:00,9370.63,9389.99,9373.26,9379.08,16.01261089
13,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,18:05:00,9370.78,9379.99,9379.08,9379.99,9.06132995
14,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,18:10:00,9375.97,9400.0,9379.99,9399.01,54.44385233
15,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,18:15:00,9383.23,9406.0,9399.01,9385.8,18.41469024
16,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,18:20:00,9385.0,9399.01,9385.8,9395.31,14.76393345
17,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,18:25:00,9390.9,9396.06,9394.3,9395.95,9.43595607
18,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,18:30:00,9378.17,9402.3,9395.95,9382.3,35.74593417
19,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,18:35:00,9372.47,9383.51,9382.3,9380.71,16.94266733
20,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,18:40:00,9375.0,9384.0,9380.79,9383.99,8.20171509
21,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,18:45:00,9383.99,9390.73,9384.0,9386.43,8.94865272
22,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,18:50:00,9385.39,9404.99,9386.46,9404.98,31.2823479
23,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,18:55:00,9404.0,9424.0,9406.3,9419.99,33.49916344
24,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,19:00:00,9396.86,9427.66,9420.0,9406.0,35.27802186
25,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,19:05:00,9394.74,9420.01,9405.95,9420.01,9.43965394
26,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,19:10:00,9412.27,9445.48,9420.09,9435.09,36.42967108
27,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,19:15:00,9435.0,9458.08,9435.09,9438.63,43.78574897
28,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,19:20:00,9418.49,9439.5,9436.04,9430.93,12.5116296
29,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,19:25:00,9424.76,9434.86,9427.35,9427.3,21.33367801
30,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,19:30:00,9426.64,9453.95,9426.65,9441.35,26.35571862
31,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,19:35:00,9435.03,9453.36,9448.71,9435.74,13.78916692
32,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,19:40:00,9431.96,9441.63,9435.73,9437.39,8.3299582
33,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,19:45:00,9424.31,9438.62,9438.53,9425.14,8.91394968
34,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,19:50:00,9415.44,9426.0,9425.15,9422.79,13.11594497
35,01_31_2020,-1.0,1.0,1.0,-1.0,1.0,19:55:00,9421.0,9432.92,9424.64,9431.5,5.8027917
